행정동,분기,임대료(천원/㎡),구,버스정류장수,지하철역수,수요_점수,구매력_점수,리스크_점수,종합_점수,클러스터,클러스터_세분화
청운효자동,20211,72.8,청운효자동,12.0,0,22.7,14.51,15.75,17.2,1.0,1.0
청운효자동,20212,72.5,청운효자동,12.0,0,22.7,14.51,15.75,17.2,1.0,1.0
청운효자동,20213,72.3,청운효자동,12.0,0,22.7,14.51,15.75,17.2,1.0,1.0
청운효자동,20214,71.4,청운효자동,12.0,0,22.7,14.51,15.75,17.2,1.0,1.0
청운효자동,20221,75.6,청운효자동,12.0,0,22.7,14.51,15.75,17.2,1.0,1.0
청운효자동,20222,75.6,청운효자동,12.0,0,22.7,14.51,15.75,17.2,1.0,1.0
청운효자동,20223,75.5,청운효자동,12.0,0,22.7,14.51,15.75,17.2,1.0,1.0
청운효자동,20224,75.5,청운효자동,12.0,0,22.7,14.51,15.75,17.2,1.0,1.0
청운효자동,20231,75.5,청운효자동,12.0,0,22.7,14.51,15.75,17.2,1.0,1.0
청운효자동,20232,75.7,청운효자동,12.0,0,22.7,14.51,15.75,17.2,1.0,1.0
청운효자동,20233,75.6,청운효자동,12.0,0,22.7,14.51,15.75,17.2,1.0,1.0
청운효자동,20234,75.6,청운효자동,12.0,0,22.7,14.51,15.75,17.2,1.0,1.0
청운효자동,20241,75.8,청운효자동,12.0,0,22.7,14.51,15.75,17.2,1.0,1.0
청운효자동,20242,76.1,청운효자동,12.0,0,22.7,14.51,15.75,17.2,1.0,1.0
청운효자동,20243,70.4,청운효자동,12.0,0,22.7,14.51,15.75,17.2,1.0,1.0
청운효자동,20244,70.6,청운효자동,12.0,0,22.7,14.51,15.75,17.2,1.0,1.0
청운효자동,20244,69.8,청운효자동,12.0,0,22.7,14.51,15.75,17.2,1.0,1.0
청운효자동,20251,70.2,청운효자동,12.0,0,22.7,14.51,15.75,17.2,1.0,1.0
청운효자동,20252,69.3,청운효자동,12.0,0,22.7,14.51,15.75,17.2,1.0,1.0
청운효자동,20253,69.4,청운효자동,12.0,0,22.7,14.51,15.75,17.2,1.0,1.0
청운효자동,20254,69.8,청운효자동,12.0,0,22.7,14.51,15.75,17.2,1.0,1.0
사직동,20211,72.8,사직동,30.0,0,23.78,37.25,29.69,30.09,0.0,4.0
사직동,20212,72.5,사직동,30.0,0,23.78,37.25,29.69,30.09,0.0,4.0
사직동,20213,72.3,사직동,30.0,0,23.78,37.25,29.69,30.09,0.0,4.0
사직동,20214,71.4,사직동,30.0,0,23.78,37.25,29.69,30.09,0.0,4.0
사직동,20221,75.6,사직동,30.0,0,23.78,37.25,29.69,30.09,0.0,4.0
사직동,20222,75.6,사직동,30.0,0,23.78,37.25,29.69,30.09,0.0,4.0
사직동,20223,75.5,사직동,30.0,0,23.78,37.25,29.69,30.09,0.0,4.0
사직동,20224,75.5,사직동,30.0,0,23.78,37.25,29.69,30.09,0.0,4.0
사직동,20231,75.5,사직동,30.0,0,23.78,37.25,29.69,30.09,0.0,4.0
사직동,20232,75.7,사직동,30.0,0,23.78,37.25,29.69,30.09,0.0,4.0
사직동,20233,75.6,사직동,30.0,0,23.78,37.25,29.69,30.09,0.0,4.0
사직동,20234,75.6,사직동,30.0,0,23.78,37.25,29.69,30.09,0.0,4.0
사직동,20241,75.8,사직동,30.0,0,23.78,37.25,29.69,30.09,0.0,4.0
사직동,20242,76.1,사직동,30.0,0,23.78,37.25,29.69,30.09,0.0,4.0
사직동,20243,70.4,사직동,30.0,0,23.78,37.25,29.69,30.09,0.0,4.0
사직동,20244,70.6,사직동,30.0,0,23.78,37.25,29.69,30.09,0.0,4.0
사직동,20244,69.8,사직동,30.0,0,23.78,37.25,29.69,30.09,0.0,4.0
사직동,20251,70.2,사직동,30.0,0,23.78,37.25,29.69,30.09,0.0,4.0
사직동,20252,69.3,사직동,30.0,0,23.78,37.25,29.69,30.09,0.0,4.0
사직동,20253,69.4,사직동,30.0,0,23.78,37.25,29.69,30.09,0.0,4.0
사직동,20254,69.8,사직동,30.0,0,23.78,37.25,29.69,30.09,0.0,4.0
삼청동,20211,72.8,삼청동,4.0,0,3.57,21.36,13.31,12.86,1.0,1.0
삼청동,20212,72.5,삼청동,4.0,0,3.57,21.36,13.31,12.86,1.0,1.0
삼청동,20213,72.3,삼청동,4.0,0,3.57,21.36,13.31,12.86,1.0,1.0
삼청동,20214,71.4,삼청동,4.0,0,3.57,21.36,13.31,12.86,1.0,1.0
삼청동,20221,75.6,삼청동,4.0,0,3.57,21.36,13.31,12.86,1.0,1.0
삼청동,20222,75.6,삼청동,4.0,0,3.57,21.36,13.31,12.86,1.0,1.0
삼청동,20223,75.5,삼청동,4.0,0,3.57,21.36,13.31,12.86,1.0,1.0
삼청동,20224,75.5,삼청동,4.0,0,3.57,21.36,13.31,12.86,1.0,1.0
삼청동,20231,75.5,삼청동,4.0,0,3.57,21.36,13.31,12.86,1.0,1.0
삼청동,20232,75.7,삼청동,4.0,0,3.57,21.36,13.31,12.86,1.0,1.0
삼청동,20233,75.6,삼청동,4.0,0,3.57,21.36,13.31,12.86,1.0,1.0
삼청동,20234,75.6,삼청동,4.0,0,3.57,21.36,13.31,12.86,1.0,1.0
삼청동,20241,75.8,삼청동,4.0,0,3.57,21.36,13.31,12.86,1.0,1.0
삼청동,20242,76.1,삼청동,4.0,0,3.57,21.36,13.31,12.86,1.0,1.0
삼청동,20243,70.4,삼청동,4.0,0,3.57,21.36,13.31,12.86,1.0,1.0
삼청동,20244,70.6,삼청동,4.0,0,3.57,21.36,13.31,12.86,1.0,1.0
삼청동,20244,69.8,삼청동,4.0,0,3.57,21.36,13.31,12.86,1.0,1.0
삼청동,20251,70.2,삼청동,4.0,0,3.57,21.36,13.31,12.86,1.0,1.0
삼청동,20252,69.3,삼청동,4.0,0,3.57,21.36,13.31,12.86,1.0,1.0
삼청동,20253,69.4,삼청동,4.0,0,3.57,21.36,13.31,12.86,1.0,1.0
삼청동,20254,69.8,삼청동,4.0,0,3.57,21.36,13.31,12.86,1.0,1.0
부암동,20211,72.8,부암동,50.0,0,16.02,4.81,6.38,8.43,1.0,1.0
부암동,20212,72.5,부암동,50.0,0,16.02,4.81,6.38,8.43,1.0,1.0
부암동,20213,72.3,부암동,50.0,0,16.02,4.81,6.38,8.43,1.0,1.0
부암동,20214,71.4,부암동,50.0,0,16.02,4.81,6.38,8.43,1.0,1.0
