정류장_ID,정류장_명칭,정류장_유형,정류장_번호,위도,경도,버스도착정보안내기_설치_여부,행정동
100000001,종로2가사거리,중앙차로,1001,37.5698055407,126.9877522923,설치   ,명동
100000002,창경궁.서울대학교병원,중앙차로,1002,37.579432932,126.9965206101,설치   ,종로1·2·3·4가동
100000003,명륜3가.성대입구,중앙차로,1003,37.5825800121,126.9982508372,설치   ,이화동
100000004,종로2가.삼일교,중앙차로,1004,37.5685792736,126.9876130976,설치   ,명동
100000005,혜화동로터리.여운형활동터,중앙차로,1005,37.586243,127.001744,설치   ,이화동
100000006,경기상고,일반차로,1101,37.5875502159,126.9693634554,설치   ,청운효자동
100000007,신교동,일반차로,1102,37.5832955233,126.9702626865,설치   ,청운효자동
100000008,경기상고,일반차로,1103,37.5871907861,126.9697701102,설치   ,청운효자동
100000009,경복고교,일반차로,1104,37.5851600316,126.9708802468,설치   ,청운효자동
100000010,청운중학교,일반차로,1105,37.587810579,126.9726741314,설치   ,청운효자동
100000011,자하문고개.윤동주문학관,일반차로,1106,37.5921866176,126.9671261805,설치   ,청운효자동
100000012,자하문고개.윤동주문학관,일반차로,1107,37.5923353152,126.9671906625,설치   ,청운효자동
100000013,청운중학교,일반차로,1108,37.5884219586,126.9722631304,설치   ,청운효자동
100000014,경복고교,일반차로,1109,37.5850633028,126.9714039185,설치   ,청운효자동
100000015,통인시장종로구보건소,일반차로,1110,37.5803257033,126.9710500404,설치   ,사직동
100000016,통인시장종로구보건소,일반차로,1111,37.5805132118,126.9713851083,설치   ,사직동
100000017,효자동,일반차로,1112,37.583091043,126.9706209712,설치   ,청운효자동
100000018,사직단.어린이도서관,일반차로,1113,37.5751355316,126.9679907155,설치   ,교남동
100000019,경복궁역1번출구,일반차로,1114,37.5761614873,126.9714158133,설치   ,사직동
100000020,경복궁역2번출구,일반차로,1115,37.577040144,126.9721994292,설치   ,사직동
100000021,경복궁역3번출구,일반차로,1116,37.5776713863,126.9722828893,설치   ,사직동
100000022,경복궁,일반차로,1117,37.5755767894,126.9787471496,설치   ,사직동
100000023,광화문역2번출구.KT광화문지사,일반차로,1118,37.5723209262,126.9774162769,설치   ,소공동
100000025,광화문역6번출구,일반차로,1120,37.5700448348,126.97640724,설치   ,소공동
100000028,서울역사박물관.강북삼성병원,일반차로,1123,37.570023,126.971248,설치   ,소공동
100000029,새문안교회,일반차로,1124,37.5703368912,126.9728386477,미설치  ,소공동
100000030,광화문역7번출구,일반차로,1125,37.570365,126.975837,설치   ,소공동
100000031,세종문화회관,일반차로,1126,37.5736489318,126.9769975778,설치   ,사직동
100000032,서울경찰청.경복궁역,일반차로,1127,37.5757446636,126.9714842989,설치   ,사직동
100000033,사직단,일반차로,1128,37.5748553458,126.968188961,설치   ,교남동
100000034,광화문역6번출구.광화문빌딩,일반차로,1129,37.5695035518,126.9768637419,설치   ,소공동
100000035,덕성여중고,일반차로,1130,37.5757693863,126.981972246,설치   ,종로1·2·3·4가동
100000036,안국역.서울공예박물관,일반차로,1131,37.5760695565,126.9839957858,설치   ,종로1·2·3·4가동
100000037,국민은행세검정지점,일반차로,1132,37.6046629766,126.9608880061,설치   ,부암동
100000038,세검정초등학교,일반차로,1133,37.6025022799,126.9612198463,설치   ,부암동
100000039,세검정.상명대,일반차로,1134,37.6004770909,126.9582921267,설치   ,부암동
100000040,상명대입구.석파랑,일반차로,1135,37.5994133537,126.958570225,설치   ,부암동
100000041,하림각,일반차로,1136,37.5981330665,126.9617068235,설치   ,부암동
100000042,자하문터널입구.석파정,일반차로,1137,37.5955935123,126.9636434993,설치   ,부암동
100000043,부암동주민센터.무계원,일반차로,1138,37.5927670827,126.9642221989,설치   ,부암동
100000044,부암동주민센터.무계원,일반차로,1139,37.5927861733,126.9651419211,설치   ,부암동
100000045,자하문터널입구.석파정,일반차로,1140,37.5955575712,126.9639775924,설치   ,부암동
100000046,하림각,일반차로,1141,37.5981476478,126.962215308,설치   ,부암동
