역사_ID,역사명,호선,위도,경도,행정동
9007,수서,수도권 광역급행철도,37.48637,127.10161,수서동
9006,삼성,수도권 광역급행철도,37.50887,127.06324,대치2동
9005,서울,수도권 광역급행철도,37.55569,126.97296,회현동
9004,연신내,수도권 광역급행철도,37.61878,126.9213,대조동
4929,김포공항,김포골드라인,37.56236,126.801868,방화2동
4713,신설동,우이신설선,37.576095,127.023242,용신동
4712,보문,우이신설선,37.585286,127.019381,보문동
4711,성신여대입구(돈암),우이신설선,37.592467,127.016516,동선동
4710,정릉,우이신설선,37.603133,127.013396,정릉1동
4709,북한산보국문,우이신설선,37.612072,127.008251,정릉4동
4708,솔샘,우이신설선,37.620238,127.013626,삼양동
4707,삼양사거리,우이신설선,37.621337,127.020473,송천동
4706,삼양,우이신설선,37.626914,127.018106,삼양동
4705,화계,우이신설선,37.634133,127.017511,수유1동
4704,가오리,우이신설선,37.641537,127.016789,수유2동
4703,4.19민주묘지,우이신설선,37.649502,127.013684,우이동
4702,솔밭공원,우이신설선,37.65603,127.013273,쌍문1동
4701,북한산우이,우이신설선,37.662909,127.012706,우이동
4411,관악산(서울대),신림선,37.4691018,126.9450639,대학동
4410,서울대벤처타운,신림선,37.4720019,126.9339351,삼성동
4409,서원,신림선,37.4782341,126.9330365,서원동
4408,신림,신림선,37.4849266,126.9296159,신림동
4407,당곡,신림선,37.4902998,126.9275133,보라매동
4406,보라매병원,신림선,37.4929598,126.9234964,신대방2동
4405,보라매공원,신림선,37.4955691,126.9180827,신대방2동
4404,보라매,신림선,37.5002739,126.9204355,신길6동
4403,서울지방병무청,신림선,37.5060464,126.9227083,신길7동
4402,대방,신림선,37.5133059,126.9257265,신길7동
4401,샛강,신림선,37.5170969,126.929399,여의동
4310,청계산입구,신분당선,37.447211,127.055664,양재2동
4309,양재시민의숲(매헌),신분당선,37.470023,127.03842,양재2동
4308,양재(서초구청),신분당선,37.483809,127.034653,양재1동
4307,강남,신분당선,37.496837,127.028104,서초2동
4306,신논현,신분당선(연장2),37.504598,127.02506,역삼1동
4305,논현,신분당선(연장2),37.511093,127.021415,논현1동
4304,신사,신분당선(연장2),37.516334,127.020114,신사동
4207,김포공항,공항철도1호선,37.561842,126.801904,공항동
4206,마곡나루,공항철도1호선,37.565543,126.827378,방화1동
4204,디지털미디어시티,공항철도1호선,37.576958,126.898609,상암동
4203,홍대입구,공항철도1호선,37.557438,126.926715,서교동
4202,공덕,공항철도1호선,37.54253,126.952024,도화동
4201,서울역,공항철도1호선,37.553247,126.969769,남영동
4138,중앙보훈병원,9호선(연장),37.529191,127.148739,둔촌2동
4137,둔촌오륜,9호선(연장),37.519683,127.137989,오륜동
4136,올림픽공원(한국체대),9호선(연장),37.516269,127.130288,오륜동
4135,한성백제,9호선(연장),37.516404,127.116503,오륜동
4134,송파나루,9호선(연장),37.510372,127.112216,송파1동
4133,석촌,9호선(연장),37.505208,127.10704,송파1동
4132,석촌고분,9호선(연장),37.502558,127.097033,석촌동
4131,삼전,9호선(연장),37.504738,127.088025,잠실본동
4130,종합운동장,9호선(연장),37.511426,127.076275,잠실7동
4129,봉은사,9호선(연장),37.514219,127.060245,삼성1동
4128,삼성중앙,9호선(연장),37.513011,127.053282,삼성2동
4127,선정릉,9호선(연장),37.510297,127.043999,삼성2동
4126,언주,9호선(연장),37.507287,127.033868,역삼1동
4125,신논현,9호선,37.504598,127.02506,역삼1동
4124,사평,9호선,37.504206,127.015259,반포1동
4123,고속터미널,9호선,37.50598,127.004403,반포4동
4122,신반포,9호선,37.503415,126.995925,반포2동
4121,구반포,9호선,37.501364,126.987332,반포본동
4120,동작(현충원),9호선,37.502878,126.978153,사당2동
4119,흑석(중앙대입구),9호선,37.50877,126.963708,흑석동
4118,노들,9호선,37.512887,126.953222,노량진1동
4117,노량진,9호선,37.513534,126.941005,노량진1동
4116,샛강,9호선,37.517274,126.928422,여의동
4115,여의도,9호선,37.52176,126.92403,여의동
4114,국회의사당,9호선,37.528105,126.917874,여의동
4113,당산,9호선,37.533406,126.902809,당산2동
4112,선유도,9호선,37.53802,126.893525,양평2동
4111,신목동,9호선,37.544277,126.88308,목2동
4110,염창,9호선,37.546936,126.874916,목2동
4109,등촌,9호선,37.550632,126.865689,염창동
4108,증미,9호선,37.557402,126.861939,등촌1동
4107,가양,9호선,37.561391,126.854456,등촌3동
4106,양천향교,9호선,37.568381,126.841333,가양1동
4105,마곡나루,9호선,37.566778,126.82731,가양1동
4104,신방화,9호선,37.567532,126.816601,방화1동
4103,공항시장,9호선,37.563726,126.810678,공항동
4102,김포공항,9호선,37.561916,126.802152,공항동
4101,개화,9호선,37.578608,126.798153,방화2동
2821,복정,8호선,37.471052,127.126732,문정2동
2820,장지,8호선,37.478703,127.126191,장지동
2819,문정,8호선,37.485855,127.1225,문정2동
2818,가락시장,8호선,37.492888,127.118398,가락본동
2817,송파,8호선,37.499703,127.112183,가락1동
2816,석촌,8호선,37.505557,127.106832,송파1동
2815,잠실(송파구청),8호선,37.514692,127.104338,잠실6동
2814,몽촌토성(평화의문),8호선,37.517409,127.112359,방이2동
2813,강동구청,8호선,37.530341,127.120508,성내1동
2812,천호(풍납토성),8호선,37.538113,127.123254,성내2동
2811,암사,8호선,37.55021,127.127562,암사2동
2810,암사역사공원,8호선,37.55695,127.13702,암사3동
2752,온수(성공회대입구),7호선,37.492092,126.823023,수궁동
2751,천왕,7호선,37.486637,126.838713,오류2동
2748,가산디지털단지,7호선,37.480338,126.882656,가산동
2747,남구로,7호선,37.486056,126.887249,구로3동
2746,대림(구로구청),7호선,37.493013,126.897075,대림2동
2745,신풍,7호선,37.50008,126.90993,신길6동
2744,보라매,7호선,37.499872,126.920428,신길6동
2743,신대방삼거리,7호선,37.499701,126.928276,대방동
2742,장승배기,7호선,37.504898,126.93915,상도2동
2741,상도,7호선,37.502834,126.94791,상도1동
2740,숭실대입구(살피재),7호선,37.496029,126.953822,상도1동
2739,남성,7호선,37.484596,126.971251,사당4동
2738,이수,7호선,37.485196,126.981605,사당2동
2737,내방,7호선,37.487618,126.993513,방배1동
2736,고속터미널,7호선,37.503367,127.005068,반포4동
2735,반포,7호선,37.508178,127.011727,반포1동
