행정동,수요_점수,구매력_점수,리스크_점수,종합_점수,클러스터,클러스터_세분화
역삼1동,96.95,100.0,73.61,86.16,2,2
서교동,64.54,80.19,100.0,86.02,2,2
여의동,44.52,67.68,53.56,54.82,2,2
명동,37.74,69.06,45.36,49.38,2,2
가산동,41.61,52.91,46.81,47.02,2,2
신촌동,52.25,35.85,40.05,42.09,2,4
서초3동,56.97,32.11,31.8,38.26,0,4
논현1동,58.64,23.14,27.06,34.09,0,3
소공동,33.2,52.58,24.94,33.98,2,4
연남동,32.26,14.08,43.31,33.16,0,4
논현2동,45.98,27.01,29.46,33.04,0,4
가양1동,38.8,10.23,40.5,32.46,0,4
화곡1동,100.0,6.63,10.91,32.44,0,3
종로1?2?3?4가동,19.38,73.7,16.38,31.54,2,4
한강로동,30.65,19.98,35.46,30.35,0,4
대치4동,50.12,27.55,21.35,30.21,0,4
사직동,23.78,37.25,29.69,30.09,0,4
상암동,35.89,27.36,27.88,29.78,0,4
연희동,56.33,13.04,21.94,28.43,0,3
구로3동,41.87,23.81,23.49,28.23,0,4
압구정동,36.79,24.63,25.47,28.13,0,4
양재1동,54.28,16.44,20.35,27.98,0,3
석촌동,69.5,10.23,15.68,27.97,0,3
화양동,38.26,18.28,27.12,27.73,0,4
길동,72.72,9.4,13.61,27.55,0,3
신사동,51.48,20.46,18.69,27.46,0,3
문정2동,22.09,20.12,33.82,27.4,0,4
삼성2동,51.79,19.06,19.07,27.37,0,3
역촌동,80.15,1.95,12.32,26.93,0,3
양재2동,44.05,18.84,21.34,26.47,0,4
잠실본동,61.66,14.69,14.34,26.44,0,3
송파1동,53.74,7.46,21.94,26.38,0,3
서초2동,36.69,30.23,18.59,26.11,0,4
역삼2동,43.75,19.81,19.45,25.71,0,4
합정동,36.02,15.93,24.89,25.46,0,4
동선동,29.51,28.22,21.15,25.05,0,4
방이2동,64.14,10.99,12.08,25.02,0,3
삼성1동,28.27,29.52,20.93,24.95,0,4
영등포동,45.35,14.53,19.63,24.87,0,3
대치2동,40.21,26.6,16.06,24.84,0,4
청담동,45.52,13.68,18.74,24.27,0,3
공릉1동,48.76,8.67,17.73,23.33,0,3
발산1동,46.36,9.83,18.26,23.27,0,3
상도1동,56.59,11.66,12.05,23.26,0,3
천호2동,55.33,7.92,14.59,23.26,0,3
삼전동,66.02,5.55,9.9,23.05,0,3
혜화동,35.79,14.12,20.61,22.83,0,4
오금동,54.07,12.08,12.22,22.81,0,3
성수1가2동,16.57,17.43,28.53,22.71,1,4
망원1동,39.79,7.26,21.5,22.56,0,0
회현동,19.86,33.63,18.17,22.48,1,4
서강동,35.53,15.51,19.22,22.43,0,4
신정4동,57.21,4.5,13.02,22.09,0,3
서초1동,38.61,13.86,17.74,22.06,0,4
진관동,51.94,7.73,13.89,22.0,0,3
문래동,34.17,15.46,18.51,21.72,0,4
용신동,46.78,6.6,16.39,21.64,0,3
한남동,33.72,13.29,19.5,21.55,0,4
화곡본동,72.77,1.23,5.44,21.47,0,3
안암동,32.41,17.49,17.71,21.39,0,4
당산2동,39.12,18.56,13.58,21.31,0,4
성수2가3동,17.18,16.98,25.57,21.28,1,4
상계2동,34.14,22.24,13.94,21.15,0,4
목1동,31.08,20.84,15.95,21.02,0,4
서초4동,31.22,26.54,12.88,20.97,0,4
공릉2동,44.97,7.08,14.89,20.56,0,3
대조동,53.5,5.01,11.39,20.47,0,3
장안1동,49.93,5.48,12.2,20.09,0,3
수유3동,45.23,5.02,13.47,19.41,0,3
인수동,55.44,2.1,9.42,19.26,0,3
가락본동,41.75,9.72,12.52,19.24,0,0
잠실6동,17.13,25.64,17.01,19.21,1,4
상계6?7동,29.29,12.79,16.88,19.0,0,0
반포4동,32.53,15.93,13.5,18.94,0,0
방화1동,49.02,4.85,10.55,18.88,0,3
광희동,26.93,10.9,18.67,18.82,1,0
면목3?8동,29.68,11.3,16.91,18.74,0,0
녹번동,52.02,3.08,9.49,18.67,0,3
불광1동,54.92,5.12,6.95,18.67,0,3
공덕동,44.84,7.22,11.04,18.66,0,3
상계3?4동,30.7,9.62,16.86,18.55,0,0
독산1동,45.19,4.7,11.79,18.49,0,3
북가좌2동,57.33,2.35,6.1,18.16,0,3
중계2?3동,26.1,12.54,16.87,18.13,1,0
갈현2동,51.45,3.27,8.57,18.12,0,3
우장산동,50.36,5.61,7.54,17.92,0,3
시흥1동,44.86,5.3,10.15,17.74,0,3
청파동,36.7,7.82,12.96,17.69,0,0
송중동,46.33,4.76,9.53,17.67,0,3
방배4동,40.79,9.4,10.02,17.67,0,0
염창동,37.3,12.72,10.02,17.62,0,0
금호2?3가동,28.2,8.51,16.79,17.61,1,0
반포1동,35.4,12.36,11.15,17.61,0,0
구로5동,34.12,8.72,13.62,17.59,0,0
성내3동,39.83,4.7,12.34,17.4,0,0
장안2동,40.74,5.4,11.5,17.39,0,0
청룡동,40.67,5.35,11.56,17.39,0,0
종로5?6가동,19.62,16.82,16.46,17.35,1,1
제기동,45.17,2.26,10.57,17.26,0,3
구의3동,35.87,9.64,11.53,17.23,0,0
청운효자동,22.7,14.51,15.75,17.2,1,1
구산동,54.8,2.05,5.42,17.11,0,3
노량진1동,32.45,10.64,12.53,17.11,0,0
종암동,45.24,6.1,8.25,17.1,0,3
성산2동,43.15,7.99,8.29,17.06,0,0
목2동,51.21,3.56,6.26,16.99,0,3
신림동,38.11,5.89,11.75,16.97,0,0
사당1동,37.6,7.72,11.07,16.96,0,0
당산1동,25.84,9.21,16.34,16.96,1,0
암사1동,49.84,2.43,7.37,16.91,0,3
대방동,45.5,5.76,7.67,16.79,0,3
을지로동,13.19,16.08,18.53,16.55,1,1
흑석동,33.52,10.37,10.95,16.53,0,0
상계1동,42.55,5.13,8.73,16.41,0,0
대학동,36.81,8.66,9.86,16.4,0,0
전농1동,38.33,4.82,10.99,16.38,0,0
양평2동,28.68,11.34,12.35,16.24,1,0
충현동,29.09,8.1,13.7,16.2,1,0
망우본동,39.43,2.73,10.96,16.12,0,0
이화동,20.36,13.02,15.43,16.08,1,1
가락2동,42.06,5.77,7.94,16.06,0,0
신정3동,47.04,4.76,5.9,16.05,0,3
면목본동,49.54,1.27,6.34,16.03,0,3
잠원동,29.93,15.37,9.22,16.02,1,0
성산1동,40.8,3.12,9.62,15.9,0,0
광장동,31.29,13.8,8.93,15.83,0,0
방배2동,30.67,10.33,10.94,15.8,0,0
방배본동,26.68,19.12,8.37,15.72,1,0
응암1동,41.85,2.59,8.69,15.57,0,0
홍은2동,46.44,2.94,6.12,15.55,0,3
화곡8동,49.49,1.42,5.3,15.54,0,3
묵1동,43.0,4.78,6.8,15.48,0,0
석관동,44.6,3.67,6.45,15.44,0,3
성내1동,32.69,6.35,11.16,15.42,0,0
중곡4동,42.66,5.61,6.4,15.4,0,0
세곡동,36.79,8.28,7.99,15.37,0,0
삼선동,33.93,4.27,11.44,15.35,0,0
도곡2동,25.76,17.35,8.95,15.33,1,0
우이동,38.33,4.74,8.68,15.22,0,0
구의1동,37.84,3.95,9.15,15.13,0,0
응암3동,39.6,1.31,9.46,15.07,0,0
화곡6동,38.05,4.64,8.56,15.06,0,0
오류2동,46.03,2.4,5.52,15.02,0,3
구로2동,39.03,3.47,8.51,14.99,0,0
서원동,32.41,9.92,8.57,14.96,0,0
군자동,31.15,5.26,11.57,14.96,0,0
성북동,28.72,5.88,12.29,14.85,1,0
사당2동,34.9,9.39,7.27,14.81,0,0
잠실2동,27.7,19.43,5.82,14.79,1,0
목5동,35.8,12.08,5.3,14.74,0,0
